gid	RNAkb	gene	firstRPKM	expandedRPKM	finalRPKM	fractionMulti
100008564	17.422	RP23-273B19.1	0.08	0.08	0.32	0.81
100009600	1.010	Glp1	0.13	0.12	0.09	0.00
100009609	2.481	ENSMUSG00000070600	0.00	0.00	0.00	0.00
100009698	1.497	LOC100009698	1.75	1.62	1.72	0.27
100012	1.832	Oog3	0.00	0.00	0.00	0.00
100017	3.783	Ldlrap1	2.74	2.07	1.61	0.01
100019	17.959	Mdn1	0.23	0.25	0.20	0.03
100033452	1.231	LOC100033452	2.63	2.44	10.08	0.81
100033459	2.987	9830148g24rik	0.01	0.01	0.03	0.75
100034251	0.469	RP23-430I21.1	3.49	3.68	2.84	0.00
100034361	1.889	Mfap1b	0.64	0.59	6.47	0.93
100034363	0.716	LOC100034363	0.59	0.30	0.43	0.46
100034662	1.686	LOC100034662	0.35	0.32	0.59	0.58
100034684	0.441	BC100530	0.67	0.62	0.90	0.47
100034724	0.698	LOC100034724	0.00	0.00	11.02	1.00
100034726	0.539	LOC100034726	0.06	0.06	12.46	1.00
100034727	0.495	LOC100034727	0.00	0.00	23.79	1.00
100034728	0.504	LOC100034728	0.00	0.00	21.28	1.00
100034729	1.974	LOC100034729	0.00	0.00	0.00	0.00
100036518	1.086	LOC100036518	0.00	0.00	0.00	0.00
100036521	2.221	LOC100036521	6.02	5.68	4.42	0.01
100037258	5.128	LOC100037258	7.03	5.52	4.31	0.01
100037278	2.482	LOC100037278	0.28	0.27	0.22	0.04
100037282	2.024	LOC100037282	3.20	2.90	17.84	0.87
100037283	1.836	LOC100037283	2.21	2.05	24.21	0.93
100038380	1.555	LOC100038380	0.06	0.06	0.05	0.00
100038429	0.660	LOC100038429	0.00	0.00	0.04	1.00
100038486	4.186	LOC100038486	0.00	0.00	0.00	0.00
100038493	0.587	LOC100038493	0.00	0.00	0.00	0.00
100038514	1.425	LOC100038514	0.48	0.36	0.28	0.00
100038570	0.886	LOC100038570	0.41	0.34	0.26	0.00
100038598	0.525	LOC100038598	0.12	0.12	0.09	0.00
100038600	2.063	LOC100038600	0.02	0.01	0.01	0.00
100038618	1.606	LOC100038618	0.02	0.02	0.02	0.00
100038635	5.968	LOC100038635	0.12	0.03	0.04	0.40
100038680	3.419	LOC100038680	0.00	0.00	0.00	0.00
100038683	1.203	LOC100038683	0.03	0.03	0.02	0.00
100038703	0.912	LOC100038703	0.57	0.53	0.43	0.06
100038822	4.531	LOC100038822	3.29	0.98	0.77	0.02
100038824	1.534	LOC100038824	0.19	0.10	0.08	0.00
100038830	2.439	LOC100038830	0.00	0.00	0.06	1.00
100038833	1.606	LOC100038833	0.00	0.00	0.04	1.00
100038842	1.159	LOC100038842	5.81	2.67	2.06	0.00
100038846	0.981	LOC100038846	0.00	0.00	0.00	0.00
100038847	1.955	LOC100038847	0.00	0.00	0.00	0.00
100038850	0.783	LOC100038850	0.00	0.00	0.00	0.00
100038852	0.814	LOC100038852	181.85	84.21	879.82	0.93
100038854	0.387	LOC100038854	0.00	0.00	0.18	1.00
100038857	1.832	LOC100038857	0.00	0.00	0.00	0.00
100038858	0.945	LOC100038858	0.17	0.13	2.02	0.95
100038859	0.948	LOC100038859	0.00	0.00	0.00	0.00
100038860	0.948	LOC100038860	0.00	0.00	0.00	0.00
100038862	3.555	LOC100038862	0.03	0.03	0.02	0.00
100038868	1.382	LOC100038868	1.11	1.05	2.06	0.61
100038875	0.509	LOC100038875	0.00	0.00	38.75	1.00
100038882	1.596	LOC100038882	3.85	2.20	2.19	0.23
100038887	0.792	LOC100038887	58.32	58.31	45.87	0.02
100038888	1.512	LOC100038888	0.00	0.00	0.03	1.00
100038890	2.236	LOC100038890	11.43	6.33	4.90	0.00
100038891	0.888	LOC100038891	0.00	0.00	0.00	0.00
100038893	1.108	LOC100038893	0.00	0.00	0.00	0.00
100038894	1.151	LOC100038894	0.00	0.00	0.00	0.00
100038895	1.243	LOC100038895	0.00	0.00	0.00	0.00
100038897	1.149	LOC100038897	0.00	0.00	0.00	0.00
100038898	1.252	LOC100038898	0.00	0.00	0.00	0.00
100038902	1.236	LOC100038902	0.05	0.00	0.00	0.00
100038903	1.085	LOC100038903	0.03	0.00	0.00	0.00
100038908	1.821	LOC100038908	0.00	0.00	0.08	1.00
100038909	2.130	LOC100038909	0.00	0.00	0.09	1.00
100038912	0.713	LOC100038912	0.00	0.00	0.00	0.00
100038914	2.966	LOC100038914	0.01	0.01	0.01	0.00
100038926	0.389	LOC100038926	0.00	0.00	0.00	0.00
100038927	0.212	LOC100038927	0.00	0.00	0.00	0.00
100038935	0.973	LOC100038935	0.00	0.00	0.00	0.00
100038937	0.856	LOC100038937	0.00	0.00	0.00	0.00
100038939	0.869	LOC100038939	0.04	0.00	0.00	0.00
100038940	3.069	LOC100038940	0.00	0.00	0.00	0.00
100038941	2.713	LOC100038941	0.00	0.00	0.00	0.00
100038942	2.553	LOC100038942	0.00	0.00	0.00	0.00
100038944	1.563	LOC100038944	0.00	0.00	0.00	0.00
100038945	2.599	LOC100038945	8.38	4.43	3.49	0.02
100038946	3.122	LOC100038946	0.00	0.00	0.00	0.00
100038947	1.515	LOC100038947	0.02	0.02	0.03	0.50
100038948	1.003	LOC100038948	0.03	0.03	0.23	0.90
100038949	4.439	LOC100038949	0.00	0.00	0.02	1.00
100038952	4.742	LOC100038952	0.00	0.00	0.00	0.00
100038953	15.981	LOC100038953	0.00	0.00	0.02	1.00
100038954	0.326	LOC100038954	0.00	0.00	0.00	0.00
100038955	18.511	LOC100038955	0.00	0.00	0.00	1.00
100038956	1.056	LOC100038956	0.00	0.00	0.13	1.00
100038957	1.187	LOC100038957	0.00	0.00	0.00	0.00
